,CLASSIFICATION,CLASSIFICATION_CODE,Area,bachelor_leased_q4,bachelor_avg_lease_rate_q4,1_bedroom_leased_q4,1_bedroom_avg_lease_rate_q4,2_bedrooms_leased_q4,2_bedrooms_avg_lease_rate_q4,3_bedrooms_leased_q4,3_bedrooms_avg_lease_rate_q4,bachelor_leased_q3,bachelor_avg_lease_rate_q3,1_bedroom_leased_q3,1_bedroom_avg_lease_rate_q3,2_bedrooms_leased_q3,2_bedrooms_avg_lease_rate_q3,3_bedrooms_leased_q3,3_bedrooms_avg_lease_rate_q3,bachelor_leased_q2,bachelor_avg_lease_rate_q2,1_bedroom_leased_q2,1_bedroom_avg_lease_rate_q2,2_bedrooms_leased_q2,2_bedrooms_avg_lease_rate_q2,3_bedrooms_leased_q2,3_bedrooms_avg_lease_rate_q2,bachelor_leased_q1,bachelor_avg_lease_rate_q1,1_bedroom_leased_q1,1_bedroom_avg_lease_rate_q1,2_bedrooms_leased_q1,2_bedrooms_avg_lease_rate_q1,3_bedrooms_leased_q1,3_bedrooms_avg_lease_rate_q1,area_sq_meters,perimeter_meters,park_count,ASSAULT_2023,ASSAULT_RATE_2023,AUTOTHEFT_2023,AUTOTHEFT_RATE_2023,BIKETHEFT_2023,BIKETHEFT_RATE_2023,BREAKENTER_2023,BREAKENTER_RATE_2023,HOMICIDE_2023,HOMICIDE_RATE_2023,ROBBERY_2023,ROBBERY_RATE_2023,SHOOTING_2023,SHOOTING_RATE_2023,THEFTFROMMV_2023,THEFTFROMMV_RATE_2023,THEFTOVER_2023,THEFTOVER_RATE_2023,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count
44,Neighbourhood Improvement Area,NIA,Toronto C11,2,1825,36,2381,15,2921,3,4350,4,1884,37,2414,38,3328,6,3317,1,1900,60,2405,48,3153,8,3222,2,1800,79,2348,53,3046,4,2980,0.0003492438826772,0.0821798836154386,5,128,558.976379394531,56,244.552169799805,10.0,43.6700286865234,49,213.983139038086,,,12.0,52.4040336608887,4.0,17.4680118560791,33,144.111099243164,8.0,34.9360237121582,50,499.66,1551,1.1584465387827667,1.1580420996635763,13
45,Emerging Neighbourhood,EN,Toronto C04,2,2050,11,2591,12,4001,1,3500,1,1600,18,2516,17,3346,1,3400,0,0,23,2616,26,3208,2,4600,5,1930,17,2530,17,3395,3,2983,0.0003886381079044,0.0828809126974932,13,124,513.308776855469,72,298.050262451172,9.0,37.2562828063965,49,202.839752197266,,,17.0,70.3729782104492,4.0,16.5583477020264,54,223.537689208984,7.0,28.977108001709,73,211.57534246575344,527,1.0093830603270555,1.008990928001904,7
46,Not an NIA or Emerging Neighbourhood,,Toronto E02,2,1900,16,2417,12,3253,0,0,3,2017,39,2539,20,3217,0,0,3,2100,30,2376,12,3404,0,0,1,1800,13,2033,8,3161,0,0,0.0001870212907072,0.0708093237535877,9,129,832.043334960938,30,193.498458862305,16.0,103.199172973633,22,141.898864746094,1.0,6.44994831085205,7.0,45.1496391296387,,,36,232.198135375977,3.0,19.3498458862305,39,425.1025641025641,1111,0.5647259688188748,0.5646203727879964,10
47,Not an NIA or Emerging Neighbourhood,,Toronto C02,9,2166,101,2740,253,4860,4,5244,20,2309,169,2873,104,4917,14,6404,16,2184,148,2906,111,4632,13,7243,6,2119,130,2776,79,4728,8,10466,0.0003115262686971,0.0855317107352132,25,398,1136.36364746094,84,239.835540771484,81.0,231.269989013672,138,394.015533447266,,,63.0,179.876663208008,,,107,305.504791259766,64.0,182.731842041016,94,306.5531914893617,1418,3.1920885481949277,3.191094438451456,12
48,Not an NIA or Emerging Neighbourhood,,Toronto C02,9,2166,101,2740,253,4860,4,5244,20,2309,169,2873,104,4917,14,6404,16,2184,148,2906,111,4632,13,7243,6,2119,130,2776,79,4728,8,10466,0.0002146666625808,0.0632948920896947,19,55,428.749603271484,43,335.204254150391,9.0,70.1590270996094,47,366.386016845703,,,15.0,116.931709289551,,,11,85.7499237060547,6.0,46.7726860046387,31,342.38709677419354,957,0.9343626709755796,0.9341621375072114,9
49,Not an NIA or Emerging Neighbourhood,,Toronto W10,0,0,10,2365,12,2925,1,2780,0,0,19,2369,12,2907,1,3500,0,0,17,2268,6,2796,0,0,0,0,19,2268,11,2702,0,0,0.000280008947374,0.0722156771194055,4,77,680.452453613281,75,662.778381347656,1.0,8.83704471588135,16,141.392715454102,,,24.0,212.089080810547,1.0,8.83704471588135,47,415.341094970703,4.0,35.3481788635254,35,366.7142857142857,593,0.8948429664301223,0.8945924725335594,6
50,Not an NIA or Emerging Neighbourhood,,Toronto E01,3,2117,68,2520,72,3208,2,4200,2,2140,96,2571,84,3166,7,4344,7,1363,71,2613,64,3078,5,4060,5,1141,52,2626,32,3327,2,4550,0.000199403080974,0.0598676482889966,6,79,645.688598632813,27,220.678375244141,15.0,122.599098205566,32,261.544738769531,1.0,8.17327308654785,8.0,65.3861846923828,2.0,16.3465461730957,20,163.465469360352,3.0,24.5198192596436,31,686.0322580645161,1357,0.961448489028036,0.9612568114582242,11
51,Not an NIA or Emerging Neighbourhood,,Toronto W03,0,0,8,2349,5,3150,0,0,1,1625,15,2307,26,2961,0,0,1,1675,79,2284,75,2758,3,3332,0,0,11,2214,6,2675,1,3200,0.0002478582262141,0.0659386122355664,11,107,472.427032470703,59,260.497161865234,10.0,44.1520614624023,36,158.947418212891,,,13.0,57.3976783752441,2.0,8.83041191101074,45,198.684265136719,3.0,13.2456178665161,37,528.918918918919,1507,1.1748396389281848,1.1745485174160557,11
52,Not an NIA or Emerging Neighbourhood,,Toronto W08,9,2058,163,2453,141,3058,15,3570,11,2101,199,2391,138,3097,10,3555,1,2100,168,2435,121,3110,3,3325,1,1750,133,2370,116,2981,13,3217,0.0003296159732038,0.0845111506103615,8,44,387.085418701172,49,431.072387695313,1.0,8.79739570617676,14,123.163543701172,,,3.0,26.3921871185303,,,23,202.340103149414,1.0,8.79739570617676,28,172.21428571428572,274,0.2531042543038059,0.2530208545885798,7
53,Not an NIA or Emerging Neighbourhood,,Toronto W08,9,2058,163,2453,141,3058,15,3570,11,2101,199,2391,138,3097,10,3555,1,2100,168,2435,121,3110,3,3325,1,1750,133,2370,116,2981,13,3217,0.0002944693575888,0.0914629976740406,9,63,635.272766113281,90,907.532531738281,9.0,90.7532501220703,55,554.603210449219,,,8.0,80.6695556640625,,,13,131.088027954102,6.0,60.5021667480469,31,429.4516129032258,1279,2.1405712992383856,2.1399411521420366,12
54,Not an NIA or Emerging Neighbourhood,,Toronto W08,9,2058,163,2453,141,3058,15,3570,11,2101,199,2391,138,3097,10,3555,1,2100,168,2435,121,3110,3,3325,1,1750,133,2370,116,2981,13,3217,0.0006813890785557,0.1460110480372622,11,136,504.245300292969,174,645.137390136719,8.0,29.6614875793457,58,215.045791625977,,,12.0,44.4922332763672,,,47,174.261245727539,13.0,48.1999168395996,88,323.8068181818182,1202,1.7623606299739314,1.7611605943793385,16
55,Not an NIA or Emerging Neighbourhood,,Toronto C13,4,2125,101,2482,54,3207,4,3499,1,2180,83,2524,54,3240,13,3488,0,0,89,2415,47,3032,14,3641,1,2300,71,2328,56,2914,2,3225,0.000463572880693,0.1228416313726124,11,96,626.46826171875,57,371.965545654297,2.0,13.0514230728149,35,228.39990234375,,,6.0,39.1542663574219,2.0,13.0514230728149,27,176.194198608398,7.0,45.6799774169922,43,330.5581395348837,903,0.6098296289945557,0.6095470595082615,11
56,Not an NIA or Emerging Neighbourhood,,Toronto C09,0,0,11,2680,18,4573,2,5750,0,0,20,3191,24,4340,0,0,0,0,17,2936,28,4091,1,6500,0,0,4,2538,13,5042,0,0,0.0003455488563166,0.1206964276701942,9,77,426.262176513672,57,315.544738769531,13.0,71.9663391113281,20,110.717445373535,,,8.0,44.286979675293,,,23,127.325065612793,5.0,27.6793613433838,40,419.65,1383,0.6217538711121368,0.6215390989873256,12
