rank,model_type,cv_strategy,mean_f1_macro,std_f1_macro,mean_train_f1,fit_time_seconds,params
45,XGBoost,StratifiedKFold,0.7011,0.0408,0.7787,2.253,"{""subsample"": 0.9, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""n_estimators"": 500, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.8}"
46,GradientBoosting,TimeSeriesSplit,0.6997,0.066,0.8916,3.341,"{""subsample"": 0.9, ""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_depth"": 3, ""learning_rate"": 0.03}"
47,XGBoost,TimeSeriesSplit,0.6963,0.0445,0.8329,2.229,"{""subsample"": 0.9, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""n_estimators"": 500, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.8}"
48,RandomForest,TimeSeriesSplit,0.6961,0.0617,0.8487,0.463,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 3, ""max_features"": ""log2"", ""max_depth"": null, ""class_weight"": ""balanced_subsample""}"
49,RandomForest,StratifiedKFold,0.6944,0.0305,0.7581,0.844,"{""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 12, ""max_features"": ""log2"", ""max_depth"": 6, ""class_weight"": ""balanced_subsample""}"
50,RandomForest,TimeSeriesSplit,0.6862,0.0488,0.8211,0.567,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 8, ""max_features"": ""log2"", ""max_depth"": 10, ""class_weight"": ""balanced""}"
51,RandomForest,TimeSeriesSplit,0.6833,0.0436,0.8208,1.071,"{""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 8, ""max_features"": 0.7, ""max_depth"": null, ""class_weight"": ""balanced""}"
52,RandomForest,StratifiedKFold,0.6809,0.0296,0.742,1.302,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": 6, ""class_weight"": ""balanced_subsample""}"
53,XGBoost,StratifiedKFold,0.6732,0.034,0.7331,1.348,"{""subsample"": 0.7, ""reg_lambda"": 5.0, ""reg_alpha"": 0.01, ""n_estimators"": 300, ""min_child_weight"": 7, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.6}"
54,RandomForest,TimeSeriesSplit,0.6634,0.0209,0.7892,0.957,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": 8, ""class_weight"": ""balanced_subsample""}"
55,RandomForest,TimeSeriesSplit,0.6621,0.0228,0.7914,1.158,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": null, ""class_weight"": ""balanced""}"
56,RandomForest,TimeSeriesSplit,0.6588,0.0152,0.789,0.794,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": 8, ""class_weight"": ""balanced""}"
57,RandomForest,TimeSeriesSplit,0.6518,0.0183,0.7665,0.922,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": 6, ""class_weight"": ""balanced_subsample""}"
58,RandomForest,TimeSeriesSplit,0.6478,0.0236,0.7726,0.658,"{""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 12, ""max_features"": ""log2"", ""max_depth"": 6, ""class_weight"": ""balanced_subsample""}"
59,RandomForest,TimeSeriesSplit,0.6457,0.0341,0.7883,0.22,"{""n_estimators"": 200, ""min_samples_split"": 10, ""min_samples_leaf"": 12, ""max_features"": ""log2"", ""max_depth"": 15, ""class_weight"": ""balanced""}"
60,XGBoost,TimeSeriesSplit,0.6397,0.0216,0.7661,1.312,"{""subsample"": 0.7, ""reg_lambda"": 5.0, ""reg_alpha"": 0.01, ""n_estimators"": 300, ""min_child_weight"": 7, ""max_depth"": 3, ""learning_rate"": 0.01, ""colsample_bytree"": 0.6}"
