AREA_NAME,Bachelor Leased,bachelor_avg_lease_rate,1_bedrooms_leased,1_bed_room_avg_lease_rate,2_bedrooms_leased,2_bedrooms_avg_lease_rate,3_bedrooms_leased,3_bedrooms_avg_lease_rate,area_sq_meters,perimeter_meters,park_count,ASSAULT_RATE,AUTOTHEFT_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTOVER_RATE,POPULATION,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count,YEAR,avg_rent_1br,rent_lag_1,rent_lag_2,rent_growth_rate,TARGET_RENT_5YR
Briar Hill-Belgravia,0.0,,5.0,1115.6666666666667,4.333333333333333,1352.3333333333333,1.0,1525.0,0.0002041554585887,0.0714810144871526,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2011,1115.6666666666667,1109.3333333333333,,0.5709134615384752,1630.6666666666667
Briar Hill-Belgravia,0.0,,3.75,1256.75,2.5,1397.75,0.0,,0.0002041554585887,0.0714810144871526,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2012,1256.75,1115.6666666666667,1109.3333333333333,12.645652823423953,1782.1666666666667
Briar Hill-Belgravia,0.0,0.0,10.0,1164.0,4.0,1700.0,1.0,1500.0,0.0002041554585887,0.0714810144871526,3.0,,,,,,,,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2013,1164.0,1256.75,1115.6666666666667,-7.3801472050925,1923.1666666666667
Briar Hill-Belgravia,1.0,850.0,16.0,1179.75,7.0,1462.0,7.0,1642.6666666666667,0.0002041554585887,0.0714810144871526,3.0,534.976623535156,121.893409729004,,169.296401977539,,60.946704864502,,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2014,1179.75,1164.0,1256.75,1.3530927835051547,1928.5614973262032
Briar Hill-Belgravia,1.0,925.0,92.0,1373.0,44.0,1701.25,6.0,2066.6666666666665,0.0002041554585887,0.0714810144871526,3.0,626.105895996094,102.082481384277,,88.4714813232422,,20.4164962768555,,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2015,1373.0,1179.75,1164.0,16.380589107861834,1841.641975308642
Briar Hill-Belgravia,,,84.0,,,1829.0,,,0.0002041554585887,0.0714810144871526,3.0,550.98291015625,122.440650939941,,190.463226318359,13.6045169830322,27.2090339660645,,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2016,1630.6666666666667,1373.0,1179.75,18.766690944403987,1998.0
Briar Hill-Belgravia,,,18.0,,,2064.0,,,0.0002041554585887,0.0714810144871526,3.0,506.859497070313,87.8556442260742,6.75812673568726,155.436920166016,27.032506942749,27.032506942749,0.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2017,1782.1666666666667,1630.6666666666667,1373.0,9.290678659035159,2260.6666666666665
Briar Hill-Belgravia,,,18.0,,,2064.0,,,0.0002041554585887,0.0714810144871526,3.0,506.859497070313,87.8556442260742,6.75812673568726,155.436920166016,27.032506942749,27.032506942749,0.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2017,1782.1666666666667,1782.1666666666667,1630.6666666666667,0.0,2260.6666666666665
Briar Hill-Belgravia,,1617.0,56.0,,,2279.0,,,0.0002041554585887,0.0714810144871526,3.0,625.0419921875,262.114379882813,,168.022048950195,6.72088193893433,26.8835277557373,,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2018,1923.1666666666667,1782.1666666666667,1782.1666666666667,7.911717946320023,2616.0
Briar Hill-Belgravia,7.0,1718.0,187.0,1928.5614973262032,125.0,2371.944,16.0,2638.1875,0.0002041554585887,0.0714810144871526,3.0,588.156677246094,140.355560302734,,207.191558837891,26.7343940734863,40.1015892028809,0.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2019,1928.5614973262032,1923.1666666666667,1782.1666666666667,0.2805181034510656,2219.0
Briar Hill-Belgravia,3.0,1566.6666666666667,162.0,1841.641975308642,101.0,2265.732673267327,7.0,2717.0,0.0002041554585887,0.0714810144871526,3.0,551.421752929688,259.101776123047,,66.4363555908203,13.2872705459595,53.1490821838379,0.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2020,1841.641975308642,1928.5614973262032,1923.1666666666667,-4.506961387441786,
Briar Hill-Belgravia,,0.0,38.0,,,2271.0,,,0.0002041554585887,0.0714810144871526,3.0,465.329650878906,183.510284423828,6.55393886566162,104.863021850586,,19.6618175506592,16842.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2021,1998.0,1841.641975308642,1928.5614973262032,8.490142317979792,
Briar Hill-Belgravia,,1650.0,24.0,,,2675.0,,,0.0002041554585887,0.0714810144871526,3.0,643.189208984375,343.883331298828,6.36820983886719,95.5231475830078,50.9456787109375,44.5774688720703,16842.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2022,2260.6666666666665,1998.0,1841.641975308642,13.146479813146472,
Briar Hill-Belgravia,,1950.0,29.0,,,2795.0,,,0.0002041554585887,0.0714810144871526,3.0,552.083984375,224.473693847656,,139.537704467773,6.0668568611145,48.534854888916,16842.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2023,2616.0,2260.6666666666665,1998.0,15.718077263344155,
Briar Hill-Belgravia,5.0,1740.0,100.0,2219.0,44.0,2685.0,7.0,3221.0,0.0002041554585887,0.0714810144871526,3.0,641.254028320313,267.189178466797,11.8750743865967,47.5002975463867,5.93753719329834,77.1879806518555,16842.0,36.0,375.52777777777777,807.0,0.3741147387326271,0.3740383767562906,6.0,2024,2219.0,2616.0,2260.6666666666665,-15.175840978593271,
Bridle Path-Sunnybrook-York Mills,0.3333333333333333,825.0,6.666666666666667,1603.6666666666667,9.0,2348.0,1.3333333333333333,3366.6666666666665,0.0009878342304107,0.1696715516475727,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2010,1603.6666666666667,,,,1839.5
Bridle Path-Sunnybrook-York Mills,0.3333333333333333,825.0,6.0,1768.3333333333333,9.666666666666666,2764.6666666666665,1.0,3550.0,0.0009878342304107,0.1696715516475727,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2011,1768.3333333333333,1603.6666666666667,,10.268135522760332,2070.2
Bridle Path-Sunnybrook-York Mills,0.0,,7.25,1820.25,6.75,3133.0,0.25,4500.0,0.0009878342304107,0.1696715516475727,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2012,1820.25,1768.3333333333333,1603.6666666666667,2.9359095193213993,2317.2
Bridle Path-Sunnybrook-York Mills,0.0,0.0,26.0,1846.0,40.0,2706.75,2.0,5125.0,0.0009878342304107,0.1696715516475727,15.0,,,,,,,,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2013,1846.0,1820.25,1768.3333333333333,1.414640846037632,2461.0
