AREA_NAME,YEAR,avg_rent_1br,POPULATION,ASSAULT_RATE,AUTOTHEFT_RATE,BIKETHEFT_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTFROMMV_RATE,THEFTOVER_RATE,park_count,transit_line_density,total_stop_count,BREAKENTER_RATE,TARGET_RENT_5YR,rent_lag_1,rent_lag_2,rent_growth_rate
St Lawrence-East Bayfront-The Islands,2023,2551.75,38159.0,1196.75793457031,116.95588684082,291.029754638672,5.80484104156494,111.516075134277,8.15971279144287,301.909362792969,84.3170318603516,24.0,0.5948752104057987,53.0,255.671005249023,,2358.75,2235.0,0.08182299947005829
St Lawrence-East Bayfront-The Islands,2024,2356.0,38159.0,1362.71911621094,89.1008682250977,209.64909362793,5.80484104156494,91.7214813232422,5.24122762680054,159.857437133789,94.3420944213867,24.0,0.5948752104057987,53.0,255.671005249023,,2551.75,2358.75,-0.07671206035073969
St.Andrew-Windfields,2010,1603.6666666666667,18858.0,305.560089111328,98.2157440185547,43.6514434814453,5.45643043518066,54.5643043518066,5.45643043518066,349.211547851563,54.5643043518066,20.0,0.9014574199961932,119.0,289.258483886719,1839.5,,,
St.Andrew-Windfields,2011,1768.3333333333333,18858.0,305.560089111328,98.2157440185547,43.6514434814453,5.45643043518066,54.5643043518066,5.45643043518066,349.211547851563,54.5643043518066,20.0,0.9014574199961932,119.0,289.258483886719,1933.5,1603.6666666666667,,0.10268135522760331
St.Andrew-Windfields,2012,1820.25,18858.0,305.560089111328,98.2157440185547,43.6514434814453,5.45643043518066,54.5643043518066,5.45643043518066,349.211547851563,54.5643043518066,20.0,0.9014574199961932,119.0,289.258483886719,2146.25,1768.3333333333333,1603.6666666666667,0.02935909519321399
St.Andrew-Windfields,2013,1846.0,18858.0,305.560089111328,98.2157440185547,43.6514434814453,5.45643043518066,54.5643043518066,5.45643043518066,349.211547851563,54.5643043518066,20.0,0.9014574199961932,119.0,289.258483886719,2281.25,1820.25,1768.3333333333333,0.014146408460376321
St.Andrew-Windfields,2014,1817.75,18858.0,305.560089111328,98.2157440185547,43.6514434814453,5.45643043518066,54.5643043518066,5.45643043518066,349.211547851563,54.5643043518066,20.0,0.9014574199961932,119.0,289.258483886719,,1846.0,1820.25,-0.015303358613217768
St.Andrew-Windfields,2015,1839.5,18858.0,252.400543212891,148.148147583008,5.48696851730347,5.45643043518066,32.9218101501465,5.45643043518066,246.91357421875,82.3045272827148,20.0,0.9014574199961932,119.0,289.258483886719,,1817.75,1846.0,0.011965341768670059
St.Andrew-Windfields,2016,1933.5,18858.0,306.312225341797,54.6986122131348,43.7588882446289,5.45643043518066,131.276672363281,10.9397220611572,164.095825195313,49.2287483215332,20.0,0.9014574199961932,119.0,289.258483886719,,1839.5,1817.75,0.05110084262027725
St.Andrew-Windfields,2017,2146.25,18858.0,264.900665283203,88.3002243041992,27.5938186645508,11.0375280380249,11.0375280380249,10.9397220611572,171.081680297852,38.63134765625,20.0,0.9014574199961932,119.0,289.258483886719,2453.0,1933.5,1839.5,0.1100336177915697
St.Andrew-Windfields,2018,2281.25,18858.0,345.057891845703,133.570785522461,38.9581489562988,11.0375280380249,33.3926963806152,5.56544971466064,150.267135620117,33.3926963806152,20.0,0.9014574199961932,119.0,289.258483886719,2982.75,2146.25,1933.5,0.0629004076878276
St.Andrew-Windfields,2022,2453.0,18858.0,339.322479248047,478.389038085938,44.5013084411621,11.0375280380249,44.5013084411621,5.56544971466064,289.258483886719,72.3146209716797,20.0,0.9014574199961932,119.0,289.258483886719,,2281.25,2146.25,0.07528767123287672
St.Andrew-Windfields,2023,2982.75,18858.0,326.849914550781,739.430969238281,75.0147323608398,5.35819530487061,80.372932434082,5.35819530487061,182.178634643555,58.9401473999023,20.0,0.9014574199961932,119.0,482.237579345703,,2453.0,2281.25,0.21596004891969017
St.Andrew-Windfields,2024,2770.0,18858.0,482.553833007813,445.434295654297,10.6055784225464,5.35819530487061,127.266944885254,5.35819530487061,174.992050170898,79.5418395996094,20.0,0.9014574199961932,119.0,482.237579345703,,2982.75,2453.0,-0.07132679574218423
Steeles,2010,1291.0,25870.0,177.423812866211,78.8550262451172,3.94275116920471,7.04920339584351,31.5420093536377,7.88550233840942,94.6260299682617,11.8282537460327,10.0,0.9113752584888468,80.0,134.936218261719,1356.0,,,
Steeles,2011,1314.3333333333333,25870.0,177.423812866211,78.8550262451172,3.94275116920471,7.04920339584351,31.5420093536377,7.88550233840942,94.6260299682617,11.8282537460327,10.0,0.9113752584888468,80.0,134.936218261719,1451.25,1291.0,,0.018073844564936683
